id,star,comment
58,4, 我是来看小罗伯特唐尼的 ，最先看他是福尔摩斯 ，然后复联，再就是这部钢铁侠 ，他真的很适合演这种自大臭屁个人崇拜狂但有真本事的人物 ，个人气质吧 。
63,5, 看了第二部 才知道第一部是多么的好看！   
65,3, 我老觉得这个东西不伦不类的...
68,4, 看完复联才去补的作业。本来以为这片子就是超人蝙蝠侠之类的英雄剧，一直都没有想去了解的心思。结果发现钢铁侠是技术宅的巅峰，瞬间被征服，作为一个从小有工科梦想却无奈于笨手笨脚的男人来说，只能崇拜了。
69,4, 开始喜欢小罗伯特汤尼了
70,4, 主角个人魅力太强大，反派太白痴
72,4, 很幽默搞笑加热血的英雄片啊，小罗伯特唐尼真的很搞笑呢~特技，动作，名车，美女也都有，算是蛮不错的娱乐美国大片吧~
73,5, 不用忍着不说到处微服私访的超人，真好。
76,4, 我觉得钢盔帅死了老贾体贴死了妮妮萌得要死这种事情会随便和你们说嘛！！
77,3, 太弱智了吧~~~~瞎编乱造。小萝卜特还是很帅的。
78,5, 很喜欢这种科技力量的科幻片~~
79,3, 看完复仇者联盟，再看这个，实在是弱爆了。
80,4, 爽完之后没啥深刻印象~欧也我真是个playboy~
81,4, Awesome~~What a man！
83,4, 还可以，和十三钗里贝尔的形象性格设置有一些像。。。
85,3, 小罗伯特唐尼还是不适合演英雄
90,5, 仅以本片献给保尔柯沙金
93,4, 喔 他是一个自己告诉大家身份的侠捏~
94,4, 小萝卜乃的翘臀翘臀！！
96,4, 比卖肉的《雷神》好看多了= =
99,5, 两块儿铁在天上飞~~~
100,4, 型爆，钢铁侠算是众多个侠当中最会耍帅的一个了。
102,4, 啊啊啊啊啊啊~~~Robert Downey Jr.  如果有一个会变身的男朋友...haha~
103,3, 小机器人太萌了，应该出个番外。
105,4, 昨天电视上看了，不错，我是先看的第二部，然后 看的第一部，所以觉得第一部没第二部好
106,3, 向“护心镜”大叔说谢谢~~胖子学开飞人真快，天上的冰不是那么生成的。
107,4, 演技的表现在于同一个演员，演完全不同性质的电影
108,2, 怪不得栖栖阻止我去电影院看2~怪不得栖栖说美国人觉得好看是因为他们不知道有一样东西叫奥特曼~
109,3, 铁臂阿童木 \(^o^)。
110,1, 哎，就觉得可怜了罗伯特唐尼。
111,3, Gwyneth Paltrow，太漂亮了....其他的，一部不错但标准的漫画电影，可以说，完全被Batman-TDK的锋芒压过
112,3, 高中同學聚會汽車影院觀影，看完美隊2按MCU時間軸補檔又看了遍作爲傳説中Earth-199999第一階段最好看的個人片，除了Pepper太花瓶跟決戰比較弱，不算浪得虛名3.7
114,4, 小罗伯特唐尼的这个钢铁侠是09年最酷的荧幕英雄！
115,4, 卖弄自己，喋喋不休，漫天飞舞，这一切特质让钢铁侠比那些冷峻派英雄更有人气。CG特效的盛典，无聊看着玩不错
117,5, 特效很白错，特意看了高清版
119,4, 这周在学校里看的，下载的是译制片枪版。比想象中的好一些，本以为该片又和那些超人续集蝙蝠侠前传之类的科幻英雄一样臭屁得狠。但我错了，钢铁侠至少是有个有血有肉的人物框架。 “没错，我就是钢铁侠”，典型美国式的个人英雄主义又完美地显现。比起去年的《《变形金刚》， 《钢铁侠》已经做到了科幻动漫英雄的极致。大制作的特效并没有破坏故事的流畅性。另外说一下，小罗伯特唐尼的身材保持得还真不赖。 
120,4, 很不错 颠覆了很多英雄电影的老套路 开始喜欢小萝卜糖
121,5, 萝卜头帅啊，这片在hero movie里在我眼中仅次于 the dark night!钢铁侠绝对是所有hero里面智商最高的！！人家装备都是自己动手做的。。。蝙蝠侠这些吃别人的穿别人的用别人的算个毛啊~
122,4, 发展才是硬道理，小唐尼帅呆了
124,4, 难得的一部漫画改编还非弱智的电影。
125,5, let's rock n roll!
126,4, 终于知道钢铁侠和机器战警不是一回事了。结尾的神盾倒是很大的伏笔啊
127,2, 侠，神，队长什么的最讨厌了
128,4, 第一次看，删了；第二次看，呀，好神奇的科幻片
130,3, 这个侠那个侠故事都大同小异，看着都烦，但美国人就是好这口！
131,4, 比蜘蛛侠，蝙蝠侠好看。
132,4, 以前看过一点，今天看完了。在天上飞、被打不疼...其实都是孩子的梦想嘛。
134,3, 与这侠那侠没什么区别，一贯的英雄主义，多了一些调侃和自恋。在假期观赏这种不需要费脑子的电影正合适。★★★
135,5, 有 小罗伯特·唐尼的片子从来不会拖沓，一点都不会，开头三十分就高潮让人还以为看到结局了。这是导演演员的双向选择还是罗伯特的表演节奏带快了剪辑呢？
136,3, 肌肉男是支撑我看完电影的全部原因。。
137,4, 虽然只是一般的英雄片，不过有些情节还真是蛮好笑的……
138,5, 超越了变形金刚 超越了蜘蛛侠
140,3, 我忘记评这个系列了，当初看的时候觉得什么啊，蜘蛛侠超人x慢这种天赋异禀才叫帅好嘛，披一身铁皮太违反完美主义者定律了！！！不过架不住大猫喜欢天天在我耳边唠，重看的时候觉得，咦，竟然还蛮好看的……女人的价值观真是不靠谱……
143,2, 唯一有魅力的就是糖尼又大又无辜的眼睛。美国人真喜欢super hero呀，不过我对这个侠没什么兴趣，这笨重的行头显然不如传统滴紧身衣性感。
144,4, 看的很爽，比样17岁mit毕业了一刚，错比
145,1, 我直接跟對面那人的妹妹倒在她房間里睡著了
146,4, 除了面罩，那身铠甲真赞，当然，面罩也有看顺眼的时候。美女帅哥阿，导演时常不忘连带他们的身材也撩你一下。BTW，杰夫大桥爷爷剃光了瓢儿头真长，还是毛发乱飞看得舒服些。小罗伯特气质无敌。
147,2, 裝個會發光的電話撥盤就這麼牛逼
149,3, 很绚丽的装备，很烂的剧情。
154,4, 美嘉的工作人員人品太差，敢騙我們是原聲。不過還是很好玩地。
155,4, 研发致富，研发改变人生。。。
157,3, 只能感叹好莱坞的超级武器研发的创意很牛逼，此外，得了强迫症一样的动漫翻拍风好像越刮越没劲，老是那么个好超人恶斗坏博士之类的框架，老美整天玩这个真不腻歪。
158,4, 小羅伯特唐尼啊啊啊啊
159,4, 虽然看的枪版，还是不错。美国式英雄。
161,5, 不为别的，小唐太帅~
162,4, 3.5  糖妮儿可爱爆了
164,5, 全新定义了“侠”的电影。最后一句I am iron man有别于上映的所有“侠”
165,5, MARVEL出品！“复联”中的高富帅！
167,4, 喜欢浪子回头金不换的故事，喜欢史塔克的毒舌，喜欢片中散发着的美式幽默，喜欢这样明骚的大叔，喜欢唐尼，幻想万岁，大叔万岁！
168,4, 风骚萝卜叔！解释么！
171,4, 技术宅吐槽利器。。。
172,4, 钢铁侠太他妈帅了！！
173,5, 花痴Downey怎么着><
174,5, 好看，真的好好看呢！不过有点年数了，特效会觉得没现在的好~
175,5, 虽然不喜欢那么自负的男猪脚 可是和小辣椒的纠葛太有爱啦。
176,4, 半夜边啃鸭脖边看完，好看的商业科幻动作片~ (p.s.片尾的彩蛋让人等好久差点错过了，marvel总是各种梗。。。)
177,5, 钢甲穿上的一瞬间，同步到达高潮
178,4, 节奏很紧凑 画面很棒 投了不少银子做那个模型 技术真心超越了我们不止十年啊
179,5, <看完复仇者联盟之后的复习功课>我就是很喜欢这枚小萝卜头!!!
180,4, 遥想高中当年看的真是热血沸腾
181,5, 知識改變命運有沒有!!!
182,4, 这个英雄人物给人种坏坏的感脚，比正常的老好人更加有魅力
185,5, 妮叔，你眼睛美翻了~~~下睫毛很给力！
187,4, 喜欢唐尼！女主不是那么吸引眼球诶。高科技就是牛X啊！
189,3, My turn 。喜欢成功男人背后的女人
190,3, 从钢铁侠到复仇者联盟，Marvel在下一盘很大的棋，牛逼！骚尼没有天然呆的队长萌，倒是花瓶Pepper让人眼前一亮！
192,3, 钢铁侠出来就是搞笑的
193,2, 普通的超级英雄片，偶有笑点
195,5, 好看死了 给一两颗星的人真不知道在想什么
196,4, 蝙蝠侠，蜘蛛侠，夜魔侠，钢铁侠，这是个没有侠客的时代，人们需要在电影中完成对英雄的崇拜，一如通过电影体味童话般的爱情.
198,5, 他就算脸色苍白，被搞得破破烂烂，我还是觉得他帅的无语言表。
200,4, 一个梦想当国际警察的天才风骚男维护世界和平的故事，俨然是米国政府的征兵广告。虽然铁人长着一张蝈字脸，不过场面够炫够拉风，再加一包瓜子对我来说足够了
201,3, 没想象中的那么好看。
202,4, 我妮的眼睛和睫毛真是！！！！
203,4, 天才技术狂的潇洒逆袭。
205,4, 搞半天贝坦尼就是Jarvis的声优嘛！哈哈哈！Jarvis×Tony很萌啊... 超爱iron man:-D
206,4, 在电影院看得很爽觉得很值
207,5, 不知为什么百看不厌的 电视上看的几遍比电影院看的还过瘾
208,4, 一邊看一邊想像他是有多愛裘德·洛。
209,3, 其实我觉得一般了，肥皂剧而已
210,4, 资本主义世界下聪明嘴贱的楞森温拿！我喜欢这种商业化高科技的感觉。觉得台词不错：我性格有许多缺陷..很多词能概括我，就是不包括“怀旧”。
212,3, 看太多憋屈的就得找点这种娱乐性十足的电影换换口味~~~好嗨皮~~~
213,4, 拿一大堆钢铁造核能武器？！这事难道不犯法么？非常好看，很带劲！7.8
215,4, 一开始就猜到那个元老是坏人！
216,3, 看后期吧～～漫画改编的片子只有《蝙蝠侠暗黑骑士》跳出了框架！
219,4, 看那套装备挺有意思〜看他家好生羡慕〜不过完全卖弄豪奢啊！！
220,4, 妮妮真萌！看着真爽！
221,4, 什么什么人 什么什么侠的电影里面我最爱这个
222,4, 其实只有3分，+1分给老贾那个绝对是让人梦寐以求的智能系统
224,4, 小罗伯特唐尼让英雄有了不一样的定义！
225,4, 蝙蝠侠和钢铁侠都告诉了我们一个真理：没钱你他妈就别想拯救世界！
226,4, 又迷人又幽默又帅气又健壮的大叔哪里找嘛！！啊啊啊啊啊好帅！(=ﾟωﾟ)ﾉ
227,5, 我好这口男人~小辣椒也好可爱~
229,4, 科学技术是第一生产力
230,1, 难以言喻的超级英雄正面厌恶症……这部电影把他加倍了……
233,5, 英雄电影的起始，完美的起始。
234,5, 最牛逼的超级英雄之一终于来了 很好很强大 有当年看蜘蛛侠的感觉了！
235,3, 冲动胆大，有勇有谋，和这种人一起心都要野了
236,4, 美国版奥特曼，这个奥特曼除了高，帅富全占了。咦，小怪兽在哪儿？
237,4, 容易没电一直是铁男的硬伤，能源开发要抓紧
244,4, 小罗伯特.唐尼的大冒险。
245,5, 酷毙了，小罗伯特唐尼
246,4, 相对于第二部，这部明显好多了。
247,3, 小罗的钢铁侠，有种老奸巨猾的感觉！
248,2, 因为看的是院版，所以看不懂，很奇怪那些蚯蚓管子爬德尼罗的盔甲上干吗？
250,4, 太好看了 很久没这么简单俗气地跟着情节走了 高兴得很
251,3, 没感觉有评论的那么好
253,2, 对这类单打独斗型的美国科幻英雄片完全不感兴趣
255,3, 居然没标。唐尼很萌好蛮。GP花瓶也不错！
256,4, 特效做的不错，估计会有二，三等续集吧。
260,5, 不是最后一句台词 我就给4星了！
261,4, 比美国各种侠好看的多。
262,3, 谁说可以和变形金刚媲美？？差远了！！！
266,3, 导演费尽心思的想把这部超人形式的科幻大片表现出一种与众不同的美感，但结果却很可惜。尽管人设上有所区别，但是整个故事仍然缺乏连贯性，也凸显出了此类电影内容匮乏的一大问题，而特效上不能说差，因为特写的部分做的很细，但也正因此才更容易让人忽略它的整体效果，这就如同小时候看多了的日本动漫，主角变身的内一刻都是无比华丽的，而在其他部分则往往表现的差强人意。
268,3, 2008.7.30 此类片中还算还可以吧。没什么好说的。
269,5, 自己自足，小米加步枪扫平一切
272,1, 让各种货色的超级英雄来得更猛烈些吧！就是不给你高分！
273,4, 飛吧~讓我懲奸除惡吧~
275,5, 4.5 小萝卜叔得以绽放！
276,4, 为了证明男人可以让女人把手放进身体重看了一遍。
277,4, Robert Downey Jr. 太风骚了
278,5, wow..!!!!钢铁侠!帅呆了!
279,3, 和张悦，闲云一起看的，没看完
284,4, 神界降生是难得的，辐射不死是奇迹的，成年长高是罕见的，比较起来钢铁侠的成长史是最靠谱的。。
285,3, 听死党说很好看   我看了   这就是蜘蛛侠和变形金刚的结合体  我看着前头 就能猜到后头
286,3, 发展才是硬道理，当然还要有钱
288,3, 对话有点意思，其它就是纯粹的商业片。
289,4, 主要是复习来着，不过这样看来工科男还是有很大机会成为高富帅的啊
290,4, 男配女配实在太烂了，因为这只是属于唐尼的电影
291,4, 这里的小罗伯特唐尼真帅，他的气场很适合高科技的玩意儿，福尔摩斯什么的就给二缺好了哈哈。
294,4, 没事多标记一点装装逼
295,4, 有人评价Tony是有钱的贱人，笑死了
296,3, 这简直就是一个天才geek炫富把妹，出事后揭露黑幕勇敢挑战的铁臂阿童木推进器+圣斗士星矢战衣+奥特曼胸灯的励志故事...打斗篇幅还太少，可以再删掉点女猪脚的戏份。
297,2, 实在无感，换心那场戏有点意思。
299,4, 每次起飞的姿势都无限卖萌
300,4, 这音乐配上穿铁甲的过程，多酷呀~
301,4, 这个其实有点小惊喜。
302,4, 我喜欢的就是那份嚣张。
303,4, iron man和dark knight，MAVEL和DC今年的交锋以dark knight的完胜告终，不过iron man依然是很棒的
304,4, 很随性的super man，比正正经经的super man爽多了
305,4, 最近是肿么了，看谁都是帅哥，早上喜欢余文乐，晚上喜欢钢铁侠。本来就是各种侠控，钢铁侠又是侠中的高富帅，各种欢乐啊。先看了妇联才来看这个，就是为了看一眼毒舌的钢铁侠小朋友的发家史，果然是没有让我失望哈。
306,2, Robert Downey Jr.在我心里怎么也严肃不起来
307,5, 不仅仅是部简单的科幻片～虽然很早就被我猜到了boss嘿嘿～
309,4, 我的理想就是像托尼斯塔克一样生活
310,4, 很酷，炫了一把，对里面的四个圈好感最大
311,4, 典型的个人英雄主义···
312,4," 补档中..还不错，多才多金浪子回头心怀天下敢想敢做什么的...虽然一直不爱superhero但是真的很迷人^^ P.S.话说这大概是看过的最物理最科学的英雄....(?)过程中无数次很出戏地想到那句""brain is new sexy""~~科学技术是第一生产力呀kekeke~~~"
313,4, 终于知道钢铁侠是怎样诞生的了。。。
314,4, 好是好，但好得也有点太夸张了吧～～
315,5, 没看之前，不屑；看过之后，佩服！力荐！
316,4, 中国还没产生做变形金刚的天才或百万富翁吧？
318,2, 这片真的只是一般.....反派这么不给力
319,4, 廉价的同情演员+1配乐+1
321,3, 就是无聊的时候需要看的片子
322,4, 钢铁侠，我希望真的有。
325,3, Tony Stark真心是个天才！
329,4, 真心记得这部还不错的，演的什么忘了
330,5, 2009.3.10 好久没碰到令我力荐的电影了！
332,2, 大美国 大财阀 大梦想 反英雄的小罗伯特·唐尼化身反战英雄。不出所料，格温尼斯·帕特洛果然是混片酬来的！机器人太可爱了，“笨笨，我警告你，如果你再喷我而我又没着火，我就把你捐给市立大学。” 结局很NB：“I am Iron Man.”
334,5, 很窟的角色，很拉风的装备，剧情紧凑，好看
336,3, 小罗伯特•唐尼你怎么会这样演。唉。
337,4, 真的感觉很阿童木~~
338,5, 不錯...電影院的效果就是好
339,4, 小罗伯特唐尼，嘿嘿，有意思
342,5, 成人版阿童木~~~~~
343,4, 第一部还是不错的···至少吸引了我···
344,4, 抠森有点乱入之感== 召唤前加入了狂暴化的督爷是新一代baserka
346,3, 创客的最高境界，我们自负，我们伟大，我们有非凡的想象力。战争之王突然有一天不想造武器了，他要为世界和平作贡献，结果是被老部下算计玩掉半条命自家房子也被炸了个底朝天，电影里才会有的情节，顶级富豪放弃发家致富的法宝，如此军方可要寻找新赞助商了。不过谁关心呢，他想要的不过是佩普的真心。
347,3, 小劳伯道尼当了英雄，Jeff Bridge满脸横肉，格温尼斯满脸雀斑，岁月无情阿~
348,4, 正义化身的钢铁侠内心里住着一个花花公子Tony
349,4, OH~~~~R8好帅R8好帅R8好帅R8好帅R8好帅R8好帅R8好帅R8好帅
350,3, 能让人记住什么？钢铁侠堪比相声演员。
351,3, 钢铁侠、蜘蛛侠、蝙蝠侠、绿灯侠、闪电侠、超胆侠、绿巨人、超人、地狱啥啥、神奇四侠…………美国漫画是不是就只有普通人因缘巧合化身超级英雄除暴安良这一种题材？早就看腻了。有其它的么？希瑞公主、恐龙丹佛、忍者神龟就算了。。。
354,2, 你完了托尼。这句怎么这么耳熟，貌似甄子丹也说过。
357,4, 像我这样的俗人的终极幻想。
359,4, 总算有个不需要悲伤往事的SUPER HORE了
360,3, 为了高富帅的高科技高端而且也不无聊打个三点五星吧
361,4, 玛丽苏巨作啊摔……不红才怪啊，帅爆了
362,4, 可不可以在潇洒中带一点俏皮
364,4, 如果你和我一样史学机械的你就会发现他的伟大
365,4, “大片”偶尔出现一下当当小菜也不错。也不知道应该赞扬美国人一边买武器一边反省的高尚情操呢，还是应该咒骂美国人一边叫嚷着反对军售一边卖得欢的无耻。ps电影给人印象最深的不是男主，当然是女秘书的身材啦~~~
366,3, 钢铁侠诞生记，用高科技武装自己，要不怎么说科学技术是第一生产力呢？
367,4, CGI技术展示~~最后竟然还会有十几秒留给续集！！
369,3, 看了《复仇者联盟》，什么都不懂。扫盲运动啊，把所有相关电影全看一遍，权把这一系列商业片当历史片看了呵呵！
371,4, iron man   super hero !
373,5, 其实我之前一点看，侠太多了，可是看了之后发现，好电影和叫什么侠一点也没关系，剧情一直很紧凑，没有硬伤，虽然难免的落入了俗套，但是还是很值得一看，2小时总算没白费
376,4, 整个儿一哪吒+奥特曼.......
377,5, 超眩的的小罗伯特.唐尼!
378,2, 浮云啊。。。就是视觉冲击了一下
380,5, There are many steps before you success. No one can skip these steps. Things can change your mind too. Just do it and be successful!
381,5, HOHO 痞子拯救世界
384,4, 动作场面不够多可是还比较好看结尾不错&爆米花好好吃哦
386,4, 是该看看这个系列了...很爽...
387,3, 2008-05-11，配乐没有说的好，但是>90%的的rt好评率有些过分了。
388,4, 美国这种神奇战士的题材片实在泛烂让人产生审美疲劳，不过片中的老男人很有味道，倒是比常态下的年轻帅哥更有看点.
390,5, 阿凡达之前就是钢铁侠
391,3, 标准漫画改编，中规中矩。
392,4, 对钢铁侠好感度up！简直帅掉渣了
393,4, techno sexy！原来骚尼的marc jacobs飞行姿势是天注定的啊
394,4, 高帅富误入山洞造盔甲，从此洗心换面做救世主
395,4, 我就不明白了 钢铁侠有人给2星。。
396,4, 小罗伯特总能把那点神经质演绎的无比完美
398,4, 情节不拖沓呢，还不错。。
399,3, 老觉得小罗伯特唐尼有点学强尼德普。不喜欢。剧情也不怎么样。
401,4, 我自己犯下的错误我自己来弥补
403,5, 我就把你捐到国立大学去！！
404,4, 有画面，有情节，没内涵。
405,5, 整個就是屌～不管是劇情還是特效
406,4, 很娱乐，大烂片轰炸过后，这部低调的作品反而显得珍贵
407,5, 绝对值得在影院看的一部大片
408,3, 看了第一遍就不想再看第二遍的爆米花电影。
410,4, 好看，赤裸裸的科技以人为本，原来锅炉侠是到了妇联以后才开始嘴贱的。。
411,3, 小劳勃·道尼好像阿尔帕西诺哇
412,3, 铁人2上映了，我是来补铁人1的
415,5, I'm iron man~~PS：此英雄片完全归功于小唐尼的出色表演~科学技术才是硬道理，有美女，有金钱，有人格缺陷，有大爱~~
417,4, 剧情和剪辑出人意料的好呢
418,4, 小搞笑，小扯淡~这部影片深刻而生动地向我们揭示了发展才是硬道理、科学是第一生产力的道理。
419,3, “其实我早就想自杀了，但是人只有活着，才能够赎罪。” 这部电影真的很一般。
420,3, 布里吉斯太水了，唐尼脸上也像打了肉毒素，是因为演钢铁侠所以表情都是僵硬的么？！
422,4, 又是一个侠！！美国个人英雄主义没完没了而且个个来历不小！！RobertDowneyJr其实蛮帅滴IronMan太离谱发明家+设计家+企业家+亿万富翁+花花公子+自产自销。。对手居然是JeffBridges白头老翁邪恶自私自利必输。。Gwyneth也不错就是两人身高有差距。。
424,4, 为了看2才看的1，比我想象的好，虽然剧情比较老套，但是男人都是机器控，怎么办呢。
425,3, 情节闭着眼睛都能猜出来……
428,5, 喜欢 小罗伯特·唐尼
429,4, 1还是蛮有意思的，剧情各方面设计的相对都还行。。应该比2好多了。。。明儿重新看2。。
430,4, 英雄中的高帅富~起码富是毋庸置疑的！！！
432,3, 这其实也是电灯筒侠！
433,3, 结尾真烂，典型的好莱坞式，没有一点突破。
434,3, 剧情是老套路，但是这种高科技科幻片只有好莱坞拍得出来，很好看的娱乐大片
435,4, 自恋多金的大叔啊~可惜已经TAKEN了
436,4, 总体来说，剧情还不错，不是太弱智。有些煽情。
438,4, 男主角、女主角太老了......
439,5, 钢铁侠系列最好看的一部。
441,4, 补联盟系列之一。高科技&爽快感。
442,5, 这几年难得一见的硬科幻电影，很精彩
443,4, 超酷却不太靠谱的维护和平方案设计.
444,1, 我讨厌TLB，但更讨厌把人家TLB描写的跟傻子一样。
445,5, 最爱的“超人”系列。
448,3, 就一个字，cool~。。。。。。。。。。。。
452,4, 复仇者联盟最爱角色。前20分钟看起来很像《战争之王》。最喜欢可以把一切用来换钱和保命的角色了
453,5, Bomb!Boom! And thank you!
455,4, 山寨终究抵不过原装的。
456,3, 经典好莱坞狗血情节大集合
457,2, 前半部分太没劲了吧！在个土窑子里！
458,5, 这部电影最让我眼前一亮的是最后一句台词（不算字幕后的）：我就是钢铁侠！   痛快！！不像其他超级英雄电影一样遮遮掩掩。真的是很酷，很另类的超级英雄。唐尼的演技很好，期待第二部。
462,4, 好看！电影院看。。。爽！
463,4, 唐尼的个人魅力带动了整部片，很酷很臭屁很幽默，这就是钢铁侠最大的特色。
465,4, 特技不错，很爽，高科技复仇的感觉谁都喜欢
468,3, 老掉牙的故事。特效还行。
469,4, the truth is ....................................................Im iron man¬¬¬¬¬
470,5, 最有质量的超级英雄片之一
474,4, 比较清新轻松的超级英雄电影，品质优秀的爆米花电影
475,3, 这玩意还有第二集就算了，居然还有第三集。。。我宁愿看功夫之王
476,3, 还是比较喜欢复仇者联盟里面那感觉。
477,4, 不及蝙蝠侠好过蜘蛛侠，男主角蛮有魅力。
479,4, 第几部会到正义大联盟?
480,5, 08-4-30于天津万达影院，记之。08年内看过的一部超出预期的电影。
482,4, 难道真的影院啥都好看？？
484,5, 从 一点到现在，看了三部电影，我要疯了！
485,4, Downey钢铁紧身内衣卖萌记
487,3, 小罗伯特•唐尼还是颇有魅力的
488,5, 小罗太帅了！！！好爱他啊！！！按说bug好多的，ironman摔下来即使壳不碎里边人也会死的。不过，科幻么，主角总是会活下来的。此影片给人的警示是：废旧的东西先不要扔掉，可以留着等紧急时刻用来救急……字幕结束后有惊喜，还好坚挺到最后……博兰司勒钢琴也有赞助咩？？？
489,3, 科技已经发展到我们现在这些普通老百姓不敢相信的地步了。
490,3, 2008-9-6 16:32:04 7/8.2(90203) 有那么好看吗……
491,4, 高帅富也让小唐演成了屌丝样
493,4, 我想 其实隐藏在背后的是个爱情故事
495,4, 特效很酷!铁皮人也能这么帅~hoho
496,3, 讨厌烧钱的，虽然batman也是~
498,4, 第一部还是很不错的。如果我是native Speaker的话应该会更喜欢的。
500,5, 在上海莱福士广场看的第二部电影。和042一起看的。笑抽了……
501,3, Typical super hero movie， I like Gwyneth Paltrow by the way
503,4, 有钱人真是什么都能做呐~！！
506,4, ★★★☆ 富二代什么的最招人恨了=。= 女主选得太不给力，请赐我一个贾维斯......【或者马文？
507,4, 没看全呐，铁壳壳……建大了会不会就是MS……哇哈哈哈哈
511,4, 小罗伯特越来越有al pacino的范儿了
512,3, 刚在万达影城看了，挺有意思，
513,3, 当喜剧看吧有些地方也有点意思。
514,5, 骚包是这部电影的唯一主题，可我爱死了！！！
516,4, 英雄的不死之身，为什么他不是为了世人牺牲。
517,3, 第二部好看 但看了第一部会对第二部有铺垫作用
518,4, well done.（漫威宇宙开补
520,3, 好壮吖...我还是喜欢蝙蝠侠的装备，轻巧多了。
522,3, 6分。大二看的，变形蛮拉风的
523,4, 最真实的英雄.幽默的男人魅力无限
525,5, 钢铁侠应该是我最喜欢的美国英雄了吧
526,4, 说真的，都别吹牛b，爱国保卫钓鱼岛，就他妈学学斯塔克。就网上吹牛b，砸自己公民的东西。
527,4, 就是SB兮兮地喜欢，就是觉得很酷，就这样。
528,5, 小罗伯特太帅乐。。。
533,4, 当我看到他穿上了那件红白相间的盔甲，并且胸前亮起了能量灯时，我才发现，我们一直期待的英雄其实就是“奥特曼”，他闪亮登场了！…不过故事讲的还是比较吸引我的～
534,4, 片尾彩蛋里SHIELD.Boss的乱入是不是就是Avengers开端的引子啊？不过浩克之后的这个super hero显然更好看更带感了。又炫又美，发现格温妮丝是唯一一个不讨厌的英雄搭子啊，这里面的小罗伯特帅死了，就连那些因为恐惧或者无力感重重的皱眉都觉得好帅，纯属燃点过高的电影系列，花痴+奇奇咔咔的Marvel。
537,2, 不低調的超級英雄。MCU的開端。
539,4, 钢铁侠的造型实在是酷，配上跑车般的红色，真让人疯狂。
